strategy,tool,state,n,ev,evR,wr,pf,medR,aw,al,mfe,mae,ratio,ff25,stop,tmfe,reach,maxw,maxl,winMFE,winMFE95
A5_REJECT_BRK,VOLUME,MEDIUM,649,-1.1843393682589056,-0.03892387416685884,25.577812018489986,0.9282819061828095,-1.0346268656716417,59.932710843373435,-22.189371118012563,2.6134800550206325,2.494226327944573,1.0478119109480868,47.84240150093809,72.72727272727273,33,"{0.25: 67.33436055469954, 0.5: 57.01078582434515, 1: 43.6055469953775, 1.5: 34.9768875192604, 2: 27.73497688751926, 3: 17.719568567026194, 4: 12.01848998459168, 5: 7.704160246533128}",242.63,-62.98875000000145,5.548489503328213,11.240721102863203
A5_REJECT_BRK,VOLUME,HIGH,1039,-1.505057747834449,-0.07660672082087462,23.195380173243503,0.9382569910531645,-1.0254385964912274,98.60199170124476,-31.73788847117796,2.4032586558044806,2.9001156961048977,0.828676821077263,49.61636828644501,75.55341674687199,22,"{0.25: 67.94995187680462, 0.5: 59.095283926852744, 1: 44.56207892204042, 1.5: 34.64870067372473, 2: 27.62271414821944, 3: 17.998075072184793, 4: 10.202117420596728, 5: 5.871029836381136}",576.88,-93.55125000000146,5.488758553274683,13.78619153674833
A6_V_RECOVERY,RANGE,LOW,253,-2.792826086956534,-0.16136936424174567,23.715415019762847,0.7728121126574925,-1.049100529100529,40.05916666666672,-16.114689119170936,2.421796165489405,2.9554655870445345,0.8194296614738124,47.783251231527096,75.09881422924902,23,"{0.25: 66.40316205533597, 0.5: 56.52173913043478, 1: 42.29249011857708, 1.5: 34.78260869565217, 2: 26.877470355731226, 3: 18.972332015810277, 4: 9.881422924901186, 5: 6.324110671936759}",133.63,-41.57624999999927,5.300323188443723,12.338028169014084
A6_V_RECOVERY,RANGE,MEDIUM,352,-1.3021377840909003,-0.1105691609278598,24.147727272727273,0.9204925842197729,-1.0360672893220935,62.430000000000064,-21.59139513108605,2.818325898535499,2.6755546046561385,1.0533613829562298,51.440329218106996,73.86363636363636,27.5,"{0.25: 69.60227272727273, 0.5: 59.375, 1: 44.31818181818182, 1.5: 36.36363636363637, 2: 27.556818181818183, 3: 19.03409090909091, 4: 9.659090909090908, 5: 5.3977272727272725}",362.88,-72.55125000000146,5.173913043478261,9.509803921568627
A6_V_RECOVERY,RANGE,HIGH,374,0.1117513368984102,0.037006260232957056,20.855614973262032,1.0051701881963397,-1.0310576192456034,104.17487179487188,-27.31028716216205,3.549811328864995,3.214867801521188,1.1041857855509083,49.60629921259842,78.87700534759358,25.5,"{0.25: 64.43850267379679, 0.5: 58.288770053475936, 1: 45.98930481283423, 1.5: 39.037433155080215, 2: 31.550802139037433, 3: 19.518716577540108, 4: 13.368983957219251, 5: 9.62566844919786}",403.88,-102.25124999999855,6.49236086148097,18.820058997050147
A6_V_RECOVERY,VOLUME,LOW,117,-4.424807692307746,-0.3136131778562472,21.367521367521366,0.6214801830076332,-1.0612137203166163,34.0,-14.866331521739175,2.166199813258637,2.6275115919629055,0.824430164222552,41.83673469387755,77.77777777777777,21,"{0.25: 63.24786324786325, 0.5: 53.84615384615385, 1: 39.31623931623932, 1.5: 31.623931623931625, 2: 24.786324786324787, 3: 14.52991452991453, 4: 7.6923076923076925, 5: 5.128205128205129}",104.63,-72.55125000000146,5.048169556840077,10.563380281690142
A6_V_RECOVERY,VOLUME,MEDIUM,272,-3.496539522058813,-0.15592070692636686,22.794117647058822,0.750304142141946,-1.043183109522031,46.09370967741941,-18.13747023809516,2.865727483792642,2.789144932022805,1.0274573583074065,52.84974093264249,74.26470588235294,29.0,"{0.25: 72.42647058823529, 0.5: 61.029411764705884, 1: 45.220588235294116, 1.5: 35.661764705882355, 2: 28.308823529411764, 3: 19.485294117647058, 4: 10.661764705882353, 5: 6.617647058823529}",133.63,-58.02000000000145,5.300323188443723,11.841004184100418
A6_V_RECOVERY,VOLUME,HIGH,590,0.5857944915254407,0.022367324780526016,23.050847457627118,1.0293336971555505,-1.0321218453162588,89.17595588235282,-25.952227422907594,3.284784663156474,3.1075334565516477,1.0570391949380706,50.122249388753055,76.61016949152543,26.0,"{0.25: 64.91525423728814, 0.5: 57.79661016949152, 1: 45.08474576271186, 1.5: 38.644067796610166, 2: 30.0, 3: 20.0, 4: 12.033898305084746, 5: 7.966101694915254}",403.88,-102.25124999999855,5.685881173591394,16.60955816050496
A7_MEAN_REV,RANGE,LOW,141,0.43013297872352063,-0.010819734489295432,26.24113475177305,1.0294674433308002,-1.03850622406639,57.26513513513518,-19.79001201923056,1.8855218855218856,1.9339841933984194,0.9749417249417249,49.26470588235294,70.2127659574468,27,"{0.25: 63.12056737588652, 0.5: 56.737588652482266, 1: 46.09929078014184, 1.5: 34.04255319148936, 2: 28.368794326241133, 3: 17.02127659574468, 4: 12.056737588652481, 5: 8.51063829787234}",211.88,-55.84499999999854,5.229485396383866,10.103806228373703
A7_MEAN_REV,RANGE,MEDIUM,167,-0.9690269461078007,-0.09998448846982416,22.75449101796407,0.9554778950785735,-1.026544622425628,91.3931578947369,-28.17649224806196,2.2913719943422914,2.2747603833865813,1.0073025761645187,43.97163120567376,73.65269461077844,24,"{0.25: 63.47305389221557, 0.5: 55.08982035928144, 1: 43.11377245508982, 1.5: 35.92814371257485, 2: 26.94610778443114, 3: 17.964071856287426, 4: 8.982035928143713, 5: 4.790419161676646}",509.13,-77.44500000000073,5.226835082505186,12.722063037249285
A7_MEAN_REV,RANGE,HIGH,131,-5.697099236641352,-0.15405693397736656,25.954198473282442,0.8154952175407093,-1.018642024909602,97.019705882353,-41.700927835051644,2.488038277511962,2.613590671491757,0.9519617224880383,47.05882352941177,73.2824427480916,19,"{0.25: 77.09923664122137, 0.5: 64.8854961832061, 1: 51.14503816793893, 1.5: 38.16793893129771, 2: 28.244274809160306, 3: 15.267175572519085, 4: 7.633587786259542, 5: 2.2900763358778624}",576.88,-89.10749999999928,4.75699604743083,8.403252032520324
A7_MEAN_REV,VOLUME,LOW,43,-1.857790697674301,-0.21216186992168723,23.25581395348837,0.8534045344857722,-1.0547169811320705,46.504999999999995,-16.513181818181664,1.8855218855218856,1.606268364348678,1.1738523445840519,54.76190476190476,76.74418604651163,21,"{0.25: 67.44186046511628, 0.5: 55.81395348837209, 1: 44.18604651162791, 1.5: 34.883720930232556, 2: 27.906976744186046, 3: 13.953488372093023, 4: 6.976744186046512, 5: 2.3255813953488373}",131.13,-77.44500000000073,4.801530853089427,nan
A7_MEAN_REV,VOLUME,MEDIUM,115,-0.13402173913033638,0.021865473987154563,27.82608695652174,0.9919298783002171,-1.032745236414963,59.200312500000024,-23.009909638554028,2.298195631528965,2.0384047267355982,1.1274481467718183,44.66019417475728,69.56521739130434,31,"{0.25: 59.130434782608695, 0.5: 53.91304347826087, 1: 42.608695652173914, 1.5: 33.91304347826087, 2: 27.82608695652174, 3: 18.26086956521739, 4: 13.91304347826087, 5: 10.434782608695652}",238.88,-51.15749999999854,5.581107305232809,10.103806228373703
A7_MEAN_REV,VOLUME,HIGH,281,-2.676872775800782,-0.11315309462767445,23.843416370106763,0.8967205003184577,-1.021110100090991,97.4770149253732,-34.033463785046735,2.255541069100391,2.3840520748576077,0.946095554240403,46.08294930875576,72.95373665480427,20,"{0.25: 70.8185053380783, 0.5: 60.854092526690394, 1: 48.39857651245551, 1.5: 37.01067615658363, 2: 27.75800711743772, 3: 16.725978647686834, 4: 8.185053380782918, 5: 3.5587188612099645}",576.88,-89.10749999999928,5.168384879725086,11.676154332700822
A8_OPEN_DRIVE,RANGE,LOW,10,13.436875000000219,0.03611686228999291,40.0,1.9502656447521096,-1.022951306012918,68.9425,-23.566874999999637,2.081397203416982,2.5471442138108804,0.8171493361590718,33.333333333333336,60.0,14.0,"{0.25: 80.0, 0.5: 70.0, 1: 50.0, 1.5: 40.0, 2: 20.0, 3: 10.0, 4: 0.0, 5: 0.0}",194.13,-49.65749999999854,2.6482829178658274,nan
A8_OPEN_DRIVE,RANGE,MEDIUM,85,7.622426470588215,0.32570086500412004,34.11764705882353,1.2576051480772996,-1.0155287817938417,109.06965517241386,-44.91274553571428,2.9943791517629026,1.8138424821002388,1.6508485060377054,56.52173913043478,65.88235294117646,30,"{0.25: 77.6470588235294, 0.5: 64.70588235294117, 1: 51.76470588235294, 1.5: 44.705882352941174, 2: 40.0, 3: 21.176470588235293, 4: 15.294117647058824, 5: 8.235294117647058}",274.38,-78.34499999999855,5.859697386519945,9.573604060913706
